INFO 2025-09-11 19:53:55,370 autoreload 30628 3116 Watching for file changes with StatReloader
WARNING 2025-09-11 19:54:10,681 log 30628 28348 Not Found: /
WARNING 2025-09-11 19:54:10,681 basehttp 30628 28348 "GET / HTTP/1.1" 404 2659
WARNING 2025-09-11 19:54:10,816 log 30628 28348 Not Found: /favicon.ico
WARNING 2025-09-11 19:54:10,816 basehttp 30628 28348 "GET /favicon.ico HTTP/1.1" 404 2710
INFO 2025-09-11 19:54:31,724 autoreload 30628 3116 C:\Users\raxtr\Documents\Programming\SIH Hackathon 2025\LCA Analysis\LCA-Analysis-Tool\lca_tool\urls.py changed, reloading.
INFO 2025-09-11 19:54:32,057 autoreload 24920 14960 Watching for file changes with StatReloader
INFO 2025-09-11 19:55:06,524 basehttp 24920 27388 "GET / HTTP/1.1" 200 2718
INFO 2025-09-11 19:56:28,192 basehttp 24920 27388 "GET / HTTP/1.1" 200 2718
INFO 2025-09-11 19:56:30,540 basehttp 24920 27388 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-09-11 19:56:30,639 basehttp 24920 27388 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
INFO 2025-09-11 19:56:30,741 basehttp 24920 27388 "GET /static/admin/css/base.css HTTP/1.1" 200 21207
INFO 2025-09-11 19:56:30,755 basehttp 24920 27388 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-09-11 19:56:30,759 basehttp 24920 13788 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2025-09-11 19:56:30,764 basehttp 24920 29656 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
INFO 2025-09-11 19:56:30,765 basehttp 24920 7648 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-09-11 19:56:30,765 basehttp 24920 29752 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-09-11 19:56:30,769 basehttp 24920 8632 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
WARNING 2025-09-11 19:56:33,591 log 24920 8632 Forbidden: /api/
WARNING 2025-09-11 19:56:33,591 basehttp 24920 8632 "GET /api/ HTTP/1.1" 403 4973
INFO 2025-09-11 19:56:33,607 basehttp 24920 8632 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-09-11 19:56:33,608 basehttp 24920 29752 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
